supplier,scenario,rts,theta,active_criteria,current_price,current_late_pct,current_error_pct,current_lead_days,current_quality_score,current_purchase,target_price,target_late_pct,target_error_pct,target_lead_days,target_quality_score,target_purchase,price_improvement,late_improvement,error_improvement,lead_improvement,quality_gain,purchase_gain,perturbed_parameter,perturbation_direction,delta
D,product_quality_led,CCR,0.1153856153846151,"price,late,error,lead,quality",2.1105,9.0,3.0,5.0,0.4216,13574.56,2.1105,2.8462323181167988,3.0,3.1909697668217722,0.5125143732661022,43182.00881538209,0.0,6.153767681883201,0.0,1.8090302331782278,0.09091437326610219,29607.448815382093,price,plus,0.05
E,balanced_improvement,CCR,0.12034891038157743,"price,late,error,lead,quality",3.612,4.0,7.0,2.0,0.338,3249.0,2.5843150388867815,1.3620534854687096,1.7299110067307129,1.7299110067307129,0.40705749469917235,49328.736619689495,1.0276849611132186,2.6379465145312904,5.270088993269287,0.27008899326928715,0.06905749469917233,46079.736619689495,price,plus,0.05
E,cost_led_development,CCR,0.14721714873899264,"price,late,error,lead,quality",3.612,4.0,7.0,2.0,0.338,3249.0,2.136031584450339,1.9101304607948963,1.9874053215112375,1.9874053215112375,0.4092901856346347,42654.53300965255,1.4759684155496613,2.089869539205104,5.012594678488762,0.0125946784887625,0.07129018563463468,39405.53300965255,price,plus,0.05
E,delivery_reliability_led,CCR,0.07142957142857141,"price,late,error,lead,quality",3.612,4.0,7.0,2.0,0.338,3249.0,2.705361379780993,1.0104057440825371,1.5156086161238056,1.5156086161238056,0.3875411231428571,50642.12192874833,0.9066386202190073,2.9895942559174626,5.484391383876194,0.4843913838761944,0.04954112314285708,47393.12192874833,price,plus,0.05
E,product_quality_led,CCR,0.11538561538461538,"price,late,error,lead,quality",3.612,4.0,7.0,2.0,0.338,3249.0,3.290667195625884,1.229007355976054,1.8435110339640808,1.8435110339640808,0.47138577138461546,61598.56150578629,0.32133280437411615,2.770992644023946,5.156488966035919,0.15648896603591922,0.13338577138461544,58349.56150578629,price,plus,0.05
C,balanced_improvement,CCR,0.12022996013075667,"price,late,error,lead,quality",2.2365,6.0,6.0,4.0,0.4359,2714.73,1.7045235372079435,3.3050606879664257,3.7525469278517503,3.256996123632839,0.5329636933913812,33911.99916652655,0.5319764627920565,2.6949393120335743,2.2474530721482497,0.7430038763671609,0.09706369339138116,31197.26916652655,price,plus,0.05
C,cost_led_development,CCR,0.11560192212279197,"price,late,error,lead,quality",2.2365,6.0,6.0,4.0,0.4359,2714.73,1.3432590892966887,3.8978154577085187,4.445822418890114,3.837495717875387,0.5667278029681072,27163.31622579714,0.8932409107033112,2.1021845422914813,1.5541775811098857,0.1625042821246132,0.1308278029681072,24448.586225797142,price,plus,0.05
C,delivery_reliability_led,CCR,0.08521226698343229,"price,late,error,lead,quality",2.2365,6.0,6.0,4.0,0.4359,2714.73,2.0392648998104574,2.196300150179014,3.1582426067970824,2.771492094127851,0.47188724498136186,36947.180884010006,0.1972351001895425,3.803699849820986,2.8417573932029176,1.2285079058721489,0.035987244981361854,34232.45088401,price,plus,0.05
C,product_quality_led,CCR,0.11728619536089002,"price,late,error,lead,quality",2.2365,6.0,6.0,4.0,0.4359,2714.73,2.2365,3.9370754855872505,3.759867400170482,3.5937405933694446,0.6221757521287001,47835.06819273874,0.0,2.0629245144127495,2.240132599829518,0.4062594066305554,0.18627575212870012,45120.33819273874,price,plus,0.05
K,balanced_improvement,CCR,0.12253555042708063,"price,late,error,lead,quality",1.3965,3.0,3.0,7.0,0.2691,2245.0,1.075498187585173,2.125215746990413,2.345779390861215,2.4959326974825196,0.34099319085936397,22266.33428106645,0.32100181241482706,0.8747842530095871,0.6542206091387852,4.50406730251748,0.07189319085936396,20021.33428106645,price,plus,0.05
K,cost_led_development,CCR,0.12373160956120842,"price,late,error,lead,quality",1.3965,3.0,3.0,7.0,0.2691,2245.0,0.8607145889521558,2.6044779347696085,2.7042028528147024,2.411186076230641,0.3628497140261794,18709.308622825236,0.5357854110478443,0.39552206523039146,0.2957971471852976,4.588813923769359,0.09374971402617938,16464.308622825236,price,plus,0.05
K,delivery_reliability_led,CCR,0.0860780441767834,"price,late,error,lead,quality",1.3965,3.0,3.0,7.0,0.2691,2245.0,1.2811187360460126,1.3894929923004513,1.8924868387382072,1.9765974990227313,0.2949413719493864,24046.702352072625,0.11538126395398751,1.6105070076995487,1.1075131612617928,5.0234025009772685,0.025841371949386405,21801.702352072625,price,plus,0.05
K,product_quality_led,CCR,0.1083144100433661,"price,late,error,lead,quality",1.3965,3.0,3.0,7.0,0.2691,2245.0,1.3965,2.3723418011311708,3.0,2.7077619345785147,0.4145061935810054,26424.72246993181,0.0,0.6276581988688292,0.0,4.292238065421485,0.14540619358100537,24179.72246993181,price,plus,0.05
J,balanced_improvement,CCR,0.11790247205712666,"price,late,error,lead,quality",1.5750000000000002,6.0,4.0,7.0,0.3421,12091.1,1.2429880770049389,3.3258862301958363,3.0862408506538515,3.0857734813502997,0.46147547280903833,28635.596865868567,0.3320119229950613,2.6741137698041637,0.9137591493461485,3.9142265186497003,0.11937547280903832,16544.49686586857,price,plus,0.05
J,cost_led_development,CCR,0.13813775264825856,"price,late,error,lead,quality",1.5750000000000002,6.0,4.0,7.0,0.3421,12091.1,1.0854025738596254,3.221313224424122,3.8238567957160017,3.155924894192767,0.47222434358693666,21146.020755427566,0.4895974261403748,2.778686775575878,0.17614320428399832,3.844075105807233,0.13012434358693664,9054.920755427565,price,plus,0.05
J,delivery_reliability_led,CCR,0.0855747746959218,"price,late,error,lead,quality",1.5750000000000002,6.0,4.0,7.0,0.3421,12091.1,1.4583254322547534,2.104353972121303,2.5359359018999976,2.535291971804807,0.38405054672655886,28467.714496569974,0.11667456774524676,3.895646027878697,1.4640640981000024,4.464708028195194,0.041950546726558846,16376.614496569973,price,plus,0.05
J,product_quality_led,CCR,0.117003142030526,"price,late,error,lead,quality",1.5750000000000002,6.0,4.0,7.0,0.3421,12091.1,1.5750000000000002,4.0907255265518785,3.679275121677352,3.510319305590418,0.5648641918149129,36388.966710159024,0.0,1.9092744734481215,0.3207248783226482,3.489680694409582,0.22276419181491286,24297.866710159025,price,plus,0.05
F,balanced_improvement,CCR,0.11898773437896945,"price,late,error,lead,quality",3.129,4.0,6.0,4.0,0.3934,2503.0,2.1915705152399454,2.7952184510432576,3.3791435230107334,3.0023705033806145,0.5317173751814099,42164.59204818675,0.9374294847600546,1.2047815489567424,2.6208564769892666,0.9976294966193855,0.1383173751814099,39661.59204818675,price,plus,0.05
F,cost_led_development,CCR,0.1261753688237325,"price,late,error,lead,quality",3.129,4.0,6.0,4.0,0.3934,2503.0,1.6490138199763522,3.5275863338828324,4.140931529957677,3.9994727096438947,0.5625309120742462,32846.33873491792,1.4799861800236478,0.4724136661171676,1.859068470042323,0.0005272903561053255,0.1691309120742462,30343.338734917917,price,plus,0.05
F,delivery_reliability_led,CCR,0.0774145239983107,"price,late,error,lead,quality",3.129,4.0,6.0,4.0,0.3934,2503.0,2.6063065295972194,1.7931994001414233,2.496542211262715,2.2998471733754173,0.4705232290278133,48603.547397058355,0.5226934704027806,2.2068005998585765,3.503457788737285,1.7001528266245827,0.07712322902781327,46100.547397058355,price,plus,0.05
F,product_quality_led,CCR,0.11286382082596598,"price,late,error,lead,quality",3.129,4.0,6.0,4.0,0.3934,2503.0,3.1290000000000004,3.263634411823961,3.572079362463971,3.3906006733897276,0.6577956117282817,61989.24689123055,-4.440892098500626e-16,0.7363655881760391,2.427920637536029,0.6093993266102724,0.2643956117282817,59486.24689123055,price,plus,0.05
