supplier,scenario,rts,optimised_criterion,price,late,error,lead,quality
C,cost_led_development,CCR,nadir,2.13,4.699626865671642,5.132764203709155,4.0,-0.4359
C,delivery_reliability_led,CCR,price,0.8597380041212835,1.9247865763909333,5.132764203709155,3.207977627318222,-0.4359
C,delivery_reliability_led,CCR,late,2.13,1.2031608240571523,3.0282978900149526,3.844002325967769,-0.4359
C,delivery_reliability_led,CCR,error,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,delivery_reliability_led,CCR,lead,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,delivery_reliability_led,CCR,quality,2.13,4.699626865671642,4.0,4.0,-0.6792587686567164
C,delivery_reliability_led,CCR,ideal,0.8597380041212835,1.2031608240571523,2.137211135578843,2.137211135578843,-0.6792587686567164
C,delivery_reliability_led,CCR,nadir,2.13,4.699626865671642,5.132764203709155,4.0,-0.4359
C,product_quality_led,CCR,price,0.8597380041212835,1.9247865763909333,5.132764203709155,3.207977627318222,-0.4359
C,product_quality_led,CCR,late,2.13,1.2031608240571523,3.0282978900149526,3.844002325967769,-0.4359
C,product_quality_led,CCR,error,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,product_quality_led,CCR,lead,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,product_quality_led,CCR,quality,2.13,4.699626865671642,4.0,4.0,-0.6792587686567164
C,product_quality_led,CCR,ideal,0.8597380041212835,1.2031608240571523,2.137211135578843,2.137211135578843,-0.6792587686567164
C,product_quality_led,CCR,nadir,2.13,4.699626865671642,5.132764203709155,4.0,-0.4359
K,balanced_improvement,CCR,price,0.5406933864265928,1.2986063019390583,3.0,1.9494027008310248,-0.2691
K,balanced_improvement,CCR,late,1.33,0.7414562219637815,1.8435495929556405,2.331126432962286,-0.2691
K,balanced_improvement,CCR,error,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,balanced_improvement,CCR,lead,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,balanced_improvement,CCR,quality,1.33,3.0,2.9999999999999996,3.2455931395902806,-0.4547159599809433
K,balanced_improvement,CCR,ideal,0.5406933864265928,0.7414562219637815,1.3109139411803348,1.3109139411803348,-0.4547159599809433
K,balanced_improvement,CCR,nadir,1.33,3.0,3.0,3.2455931395902806,-0.2691
K,cost_led_development,CCR,price,0.5406933864265928,1.2986063019390583,3.0,1.9494027008310248,-0.2691
K,cost_led_development,CCR,late,1.33,0.7414562219637815,1.8435495929556405,2.331126432962286,-0.2691
K,cost_led_development,CCR,error,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,cost_led_development,CCR,lead,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,cost_led_development,CCR,quality,1.33,3.0,2.9999999999999996,3.2455931395902806,-0.4547159599809433
K,cost_led_development,CCR,ideal,0.5406933864265928,0.7414562219637815,1.3109139411803348,1.3109139411803348,-0.4547159599809433
K,cost_led_development,CCR,nadir,1.33,3.0,3.0,3.2455931395902806,-0.2691
K,delivery_reliability_led,CCR,price,0.5406933864265928,1.2986063019390583,3.0,1.9494027008310248,-0.2691
K,delivery_reliability_led,CCR,late,1.33,0.7414562219637815,1.8435495929556405,2.331126432962286,-0.2691
K,delivery_reliability_led,CCR,error,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,delivery_reliability_led,CCR,lead,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,delivery_reliability_led,CCR,quality,1.33,3.0,2.9999999999999996,3.2455931395902806,-0.4547159599809433
K,delivery_reliability_led,CCR,ideal,0.5406933864265928,0.7414562219637815,1.3109139411803348,1.3109139411803348,-0.4547159599809433
K,delivery_reliability_led,CCR,nadir,1.33,3.0,3.0,3.2455931395902806,-0.2691
K,product_quality_led,CCR,price,0.5406933864265928,1.2986063019390583,3.0,1.9494027008310248,-0.2691
K,product_quality_led,CCR,late,1.33,0.7414562219637815,1.8435495929556405,2.331126432962286,-0.2691
K,product_quality_led,CCR,error,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,product_quality_led,CCR,lead,1.33,1.2651040640235804,1.3109139411803348,1.3109139411803348,-0.2691
K,product_quality_led,CCR,quality,1.33,3.0,2.9999999999999996,3.2455931395902806,-0.4547159599809433
K,product_quality_led,CCR,ideal,0.5406933864265928,0.7414562219637815,1.3109139411803348,1.3109139411803348,-0.4547159599809433
K,product_quality_led,CCR,nadir,1.33,3.0,3.0,3.2455931395902806,-0.2691
J,balanced_improvement,CCR,price,0.7296921981770428,2.1207509404947644,3.0956116619787606,2.346141531845038,-0.3421
J,balanced_improvement,CCR,late,1.5,0.9591571135847593,2.672453895996012,3.494932713075261,-0.3421
J,balanced_improvement,CCR,error,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,balanced_improvement,CCR,lead,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,balanced_improvement,CCR,quality,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.6329138059701493
J,balanced_improvement,CCR,ideal,0.7296921981770428,0.9591571135847593,1.7739667143644624,1.7739667143644624,-0.6329138059701493
J,balanced_improvement,CCR,nadir,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.34209999999999996
J,cost_led_development,CCR,price,0.7296921981770428,2.1207509404947644,3.0956116619787606,2.346141531845038,-0.3421
J,cost_led_development,CCR,late,1.5,0.9591571135847593,2.672453895996012,3.494932713075261,-0.3421
J,cost_led_development,CCR,error,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,cost_led_development,CCR,lead,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,cost_led_development,CCR,quality,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.6329138059701493
J,cost_led_development,CCR,ideal,0.7296921981770428,0.9591571135847593,1.7739667143644624,1.7739667143644624,-0.6329138059701493
J,cost_led_development,CCR,nadir,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.34209999999999996
J,delivery_reliability_led,CCR,price,0.7296921981770428,2.1207509404947644,3.0956116619787606,2.346141531845038,-0.3421
J,delivery_reliability_led,CCR,late,1.5,0.9591571135847593,2.672453895996012,3.494932713075261,-0.3421
J,delivery_reliability_led,CCR,error,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,delivery_reliability_led,CCR,lead,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,delivery_reliability_led,CCR,quality,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.6329138059701493
J,delivery_reliability_led,CCR,ideal,0.7296921981770428,0.9591571135847593,1.7739667143644624,1.7739667143644624,-0.6329138059701493
J,delivery_reliability_led,CCR,nadir,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.34209999999999996
J,product_quality_led,CCR,price,0.7296921981770428,2.1207509404947644,3.0956116619787606,2.346141531845038,-0.3421
J,product_quality_led,CCR,late,1.5,0.9591571135847593,2.672453895996012,3.494932713075261,-0.3421
J,product_quality_led,CCR,error,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,product_quality_led,CCR,lead,1.5,1.8424830272962773,1.7739667143644624,1.7739667143644624,-0.34209999999999996
J,product_quality_led,CCR,quality,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.6329138059701493
J,product_quality_led,CCR,ideal,0.7296921981770428,0.9591571135847593,1.7739667143644624,1.7739667143644624,-0.6329138059701493
J,product_quality_led,CCR,nadir,1.5,4.973880597014926,4.000000000000001,4.000000000000001,-0.34209999999999996
F,balanced_improvement,CCR,price,0.7759140418015896,1.7371209891080364,4.632322637621431,2.8952016485133942,-0.39339999999999997
F,balanced_improvement,CCR,late,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,balanced_improvement,CCR,error,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,balanced_improvement,CCR,lead,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,balanced_improvement,CCR,quality,2.9799999999999995,4.0,4.2865897620764235,4.0,-0.7348726748377794
F,balanced_improvement,CCR,ideal,0.7759140418015896,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.7348726748377794
F,balanced_improvement,CCR,nadir,2.9799999999999995,4.0,4.632322637621431,4.0,-0.39339999999999997
F,cost_led_development,CCR,price,0.7759140418015896,1.7371209891080364,4.632322637621431,2.8952016485133942,-0.39339999999999997
F,cost_led_development,CCR,late,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,cost_led_development,CCR,error,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,cost_led_development,CCR,lead,2.615486898709425,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.39339999999999997
F,cost_led_development,CCR,quality,2.9799999999999995,4.0,4.2865897620764235,4.0,-0.7348726748377794
F,cost_led_development,CCR,ideal,0.7759140418015896,1.0256811367487941,1.5385217051231912,1.5385217051231912,-0.7348726748377794
F,cost_led_development,CCR,nadir,2.9799999999999995,4.0,4.632322637621431,4.0,-0.39339999999999997
F,delivery_reliability_led,CCR,price,0.7759140418015896,1.7371209891080364,4.632322637621431,2.8952016485133942,-0.39339999999999997
