supplier,scenario,robustness_index_parameter,theta_min,theta_max,target_price_range,target_late_range,target_error_range,target_lead_range,target_quality_range,target_purchase_range,run_count
F,delivery_reliability_led,4.279844320860524e-35,0.07741452399831068,0.0774145239983107,0.2482196694854495,0.17931994001414253,0.24965422112627156,0.22998471733754355,0.047052322902781385,1.4551915228366852e-11,10
F,product_quality_led,6.505363367707997e-33,0.11286382082596567,0.11286382082596598,0.29800000000000004,0.326363441182397,0.35720793624639935,0.3390600673389721,0.06577956117282802,2.9103830456733704e-11,10
G,balanced_improvement,0.0,0.0,0.0,0.13400000000000034,0.10000000000000009,0.3000000000000007,0.20000000000000018,0.010730000000000017,0.0,10
G,cost_led_development,0.0,0.0,0.0,0.13400000000000034,0.10000000000000009,0.3000000000000007,0.20000000000000018,0.010730000000000017,0.0,10
G,delivery_reliability_led,0.0,0.0,0.0,0.13400000000000034,0.10000000000000009,0.3000000000000007,0.20000000000000018,0.010730000000000017,0.0,10
G,product_quality_led,0.0,0.0,0.0,0.13400000000000034,0.10000000000000009,0.3000000000000007,0.20000000000000018,0.010730000000000017,0.0,10
H,balanced_improvement,0.0,0.0,0.0,0.5099999999999998,0.20000000000000018,0.3000000000000007,0.3000000000000007,0.07671000000000006,0.0,10
H,cost_led_development,0.0,0.0,0.0,0.5099999999999998,0.20000000000000018,0.3000000000000007,0.3000000000000007,0.07671000000000006,0.0,10
H,delivery_reliability_led,0.0,0.0,0.0,0.5099999999999998,0.20000000000000018,0.3000000000000007,0.3000000000000007,0.07671000000000006,0.0,10
H,product_quality_led,0.0,0.0,0.0,0.5099999999999998,0.20000000000000018,0.3000000000000007,0.3000000000000007,0.07671000000000006,0.0,10
I,balanced_improvement,0.0,0.0,0.0,0.14000000000000012,0.10000000000000009,0.3000000000000007,0.40000000000000036,0.03522000000000003,0.0,10
I,cost_led_development,0.0,0.0,0.0,0.14000000000000012,0.10000000000000009,0.3000000000000007,0.40000000000000036,0.03522000000000003,0.0,10
I,delivery_reliability_led,0.0,0.0,0.0,0.14000000000000012,0.10000000000000009,0.3000000000000007,0.40000000000000036,0.03522000000000003,0.0,10
I,product_quality_led,0.0,0.0,0.0,0.14000000000000012,0.10000000000000009,0.3000000000000007,0.40000000000000036,0.03522000000000003,0.0,10
J,balanced_improvement,1.134158745028039e-33,0.11790247205712666,0.11790247205712676,0.11837981685761312,0.3325886230195847,0.30862408506538497,0.30857734813503823,0.0461475472809037,5.093170329928398e-11,10
J,cost_led_development,1.0271626370065257e-33,0.1381377526482585,0.13813775264825862,0.10337167370091693,0.32213132244241205,0.38238567957159564,0.3155924894192763,0.047222434358693555,6.548361852765083e-11,10
J,delivery_reliability_led,3.423875456688419e-34,0.08557477469592177,0.08557477469592183,0.13888813640521458,0.21043539721213023,0.2535935901899995,0.25352919718047495,0.038405054672656036,1.8189894035458565e-11,10
J,product_quality_led,1.9109504892642241e-32,0.11700314203052592,0.1170031420305263,0.15000000000000036,0.4090725526551875,0.3679275121677361,0.351031930559043,0.05648641918149133,4.3655745685100555e-11,10
K,balanced_improvement,1.925929944387236e-34,0.12253555042708061,0.12253555042708066,0.10242839881763566,0.21252157469904187,0.234577939086122,0.2495932697482499,0.03409931908593644,1.4551915228366852e-11,10
K,cost_led_development,1.7119377283442096e-34,0.1237316095612084,0.12373160956120845,0.08197281799544343,0.26044779347696245,0.2704202852814719,0.24111860762306492,0.03628497140261794,1.4551915228366852e-11,10
K,delivery_reliability_led,1.7119377283442096e-34,0.08607804417678337,0.08607804417678341,0.12201130819485861,0.1389492992300454,0.1892486838738212,0.19765974990227297,0.029494137194938652,1.8189894035458565e-11,10
K,product_quality_led,7.318533788671496e-33,0.1083144100433661,0.10831441004336635,0.133,0.23723418011311903,0.30000000000000027,0.27077619345784987,0.04145061935810063,2.9103830456733704e-11,10
L,balanced_improvement,2.3967128196818935e-33,0.11617643445467923,0.11617643445467939,0.1515939021952264,0.4288648043075183,0.4430047183170185,0.4180431815660297,0.061450180962220435,9.458744898438454e-11,10
L,cost_led_development,5.135813185032629e-34,0.1388930561336659,0.13889305613366595,0.13297234949470815,0.38332383439808915,0.5722483050250347,0.4299683563608063,0.06252088214423912,5.820766091346741e-11,10
L,delivery_reliability_led,1.4979455123011835e-34,0.08409710698701663,0.08409710698701667,0.1779095454339077,0.2702839604320615,0.35142101149097504,0.3369123779568768,0.05044749170495655,4.3655745685100555e-11,10
L,product_quality_led,3.145685575832485e-33,0.11678290425376978,0.11678290425376996,0.19399999999999995,0.5331598422171302,0.5382801234506314,0.4836826012453015,0.0761432856180495,4.3655745685100555e-11,10
