supplier,scenario,rts,theta,active_criteria,current_price,current_late_pct,current_error_pct,current_lead_days,current_quality_score,current_purchase,target_price,target_late_pct,target_error_pct,target_lead_days,target_quality_score,target_purchase,price_improvement,late_improvement,error_improvement,lead_improvement,quality_gain,purchase_gain,ccr_efficiency
J,balanced_improvement,CCR,0.1179024720571267,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.183798168576132,3.3258862301958367,3.0862408506538523,3.085773481350291,0.4614754728090383,28635.596865868556,0.31620183142386793,2.6741137698041633,0.9137591493461477,3.914226518649709,0.11937547280903826,16544.496865868554,0.540516
J,cost_led_development,CCR,0.13813775264825856,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.033716737009167,3.221313224424121,3.8238567957160043,3.155924894192768,0.47222434358693677,21146.02075542755,0.4662832629908329,2.778686775575879,0.17614320428399566,3.844075105807232,0.13012434358693675,9054.92075542755,0.540516
J,delivery_reliability_led,CCR,0.08557477469592181,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.3888813640521462,2.1043539721213023,2.5359359018999976,2.535291971804802,0.3840505467265588,28467.714496569963,0.11111863594785376,3.8956460278786977,1.4640640981000024,4.464708028195198,0.04195054672655879,16376.614496569962,0.540516
J,product_quality_led,CCR,0.11700314203052618,"price,late,error,lead,quality",1.5,6.0,4.0,7.0,0.3421,12091.1,1.5,4.090725526551883,3.679275121677356,3.510319305590421,0.5648641918149132,36388.966710159024,0.0,1.909274473448117,0.3207248783226442,3.489680694409579,0.2227641918149132,24297.866710159025,0.540516
F,balanced_improvement,CCR,0.11898773437896945,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.0872100145142336,2.7952184510432585,3.3791435230107334,3.0023705033806194,0.53171737518141,42164.59204818676,0.8927899854857664,1.2047815489567415,2.6208564769892666,0.9976294966193806,0.13831737518141002,39661.59204818676,0.535331
F,cost_led_development,CCR,0.12617536882373245,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,1.57048935235843,3.527586333882832,4.140931529957675,3.999472709643918,0.5625309120742462,32846.338734917925,1.40951064764157,0.47241366611716806,1.8590684700423248,0.0005272903560817888,0.1691309120742462,30343.338734917925,0.535331
F,delivery_reliability_led,CCR,0.0774145239983107,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.482196694854495,1.7931994001414233,2.4965422112627147,2.2998471733754244,0.4705232290278133,48603.54739705835,0.4978033051455051,2.2068005998585765,3.5034577887372853,1.7001528266245756,0.07712322902781327,46100.54739705835,0.535331
F,product_quality_led,CCR,0.11286382082596579,"price,late,error,lead,quality",2.98,4.0,6.0,4.0,0.3934,2503.0,2.9800000000000004,3.263634411823957,3.5720793624639686,3.3906006733897245,0.6577956117282815,61989.246891230534,-4.440892098500626e-16,0.7363655881760431,2.4279206375360314,0.6093993266102755,0.26439561172828147,59486.246891230534,0.535331
L,balanced_improvement,CCR,0.11617643445467929,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.5159390219522582,4.288648043075181,4.430047183170194,4.180431815660351,0.6145018096222005,34512.1862688911,0.4240609780477418,4.711351956924819,1.5699528168298063,2.8195681843396487,0.1773018096222005,19789.1862688911,0.508233
L,cost_led_development,CCR,0.13889305613366595,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.3297234949470789,3.833238343980896,5.722483050250374,4.299683563608058,0.6252088214423893,21451.891044749187,0.6102765050529211,5.166761656019104,0.27751694974962593,2.700316436391942,0.18800882144238934,6728.891044749187,0.508233
L,delivery_reliability_led,CCR,0.08409710698701664,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.7790954543390745,2.702839604320613,3.514210114909752,3.3691237795686884,0.5044749170495669,35209.073242371946,0.1609045456609255,6.297160395679387,2.485789885090248,3.6308762204313116,0.06727491704956695,20486.073242371946,0.508233
L,product_quality_led,CCR,0.11678290425376987,"price,late,error,lead,quality",1.94,9.0,6.0,7.0,0.4372,14723.0,1.94,5.331598422171301,5.382801234506309,4.836826012453005,0.7614328561804933,44253.87268347347,0.0,3.668401577828699,0.6171987654936908,2.163173987546995,0.3242328561804933,29530.87268347347,0.508233
