supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
I,balanced_improvement,CCR,I,1.0,price,plus,0.05
I,cost_led_development,CCR,I,1.0,price,plus,0.05
I,delivery_reliability_led,CCR,I,1.0,price,plus,0.05
I,product_quality_led,CCR,I,1.0,price,plus,0.05
D,balanced_improvement,CCR,A,0.00004315754472223741,price,plus,0.05
D,balanced_improvement,CCR,B,0.44074152196886807,price,plus,0.05
D,balanced_improvement,CCR,H,0.16304805536373546,price,plus,0.05
D,balanced_improvement,CCR,I,0.15743465599041917,price,plus,0.05
D,cost_led_development,CCR,A,0.000041782445637198707,price,plus,0.05
D,cost_led_development,CCR,B,0.5994189842246633,price,plus,0.05
D,cost_led_development,CCR,H,0.06951320442911575,price,plus,0.05
D,cost_led_development,CCR,I,0.11854739257726225,price,plus,0.05
D,delivery_reliability_led,CCR,A,0.0000623257834324991,price,plus,0.05
D,delivery_reliability_led,CCR,B,0.2216500646764531,price,plus,0.05
D,delivery_reliability_led,CCR,H,0.2501238070300477,price,plus,0.05
D,delivery_reliability_led,CCR,I,0.2688456019347888,price,plus,0.05
D,product_quality_led,CCR,A,0.00002275960166825061,price,plus,0.05
D,product_quality_led,CCR,B,0.444567201206058,price,plus,0.05
D,product_quality_led,CCR,H,0.2161449938273633,price,plus,0.05
D,product_quality_led,CCR,I,0.19103804562677734,price,plus,0.05
E,balanced_improvement,CCR,B,0.08947692042067186,price,plus,0.05
E,balanced_improvement,CCR,H,0.4573344416826752,price,plus,0.05
E,cost_led_development,CCR,B,0.25079724848031626,price,plus,0.05
E,cost_led_development,CCR,H,0.3280721091966575,price,plus,0.05
E,delivery_reliability_led,CCR,H,0.5052028720412686,price,plus,0.05
E,product_quality_led,CCR,H,0.614503677988027,price,plus,0.05
C,balanced_improvement,CCR,A,0.16518360140630378,price,plus,0.05
C,balanced_improvement,CCR,B,0.5094819168628433,price,plus,0.05
C,balanced_improvement,CCR,H,0.13105014971664894,price,plus,0.05
C,cost_led_development,CCR,A,0.2185098077207496,price,plus,0.05
C,cost_led_development,CCR,B,0.6389969079761619,price,plus,0.05
C,cost_led_development,CCR,H,0.00004938625896955495,price,plus,0.05
C,cost_led_development,CCR,I,0.04720272214752064,price,plus,0.05
C,delivery_reliability_led,CCR,A,0.15550236096219536,price,plus,0.05
C,delivery_reliability_led,CCR,B,0.22860021061861574,price,plus,0.05
C,delivery_reliability_led,CCR,H,0.2535177219909972,price,plus,0.05
C,delivery_reliability_led,CCR,I,0.07975657021735494,price,plus,0.05
C,product_quality_led,CCR,A,0.055375602267012373,price,plus,0.05
C,product_quality_led,CCR,B,0.6684458388985536,price,plus,0.05
C,product_quality_led,CCR,H,0.21435974214672282,price,plus,0.05
K,balanced_improvement,CCR,A,0.021721104302302563,price,plus,0.05
K,balanced_improvement,CCR,B,0.35458372113565206,price,plus,0.05
K,balanced_improvement,CCR,H,0.03590860443851641,price,plus,0.05
K,balanced_improvement,CCR,I,0.21531661952821224,price,plus,0.05
K,cost_led_development,CCR,A,0.10370591447725905,price,plus,0.05
K,cost_led_development,CCR,B,0.4550389143661971,price,plus,0.05
